run_id,timestamp_iso,t_elapsed_s,pass_index,pass_type,driven_amp,commanded_kv,commanded_gen_v,ain,amp_label,kind,mean_v,std_v,min_v,max_v,n_samples,n_windows,converted_value,converted_unit,stream_profile
cal_20260804T114850,2026-08-04T16:48:55.576261+00:00,5.496055299998261,0,up,X+,-4.8,-4.8,AIN9,Y+,voltage,-0.009738180359881372,0.0029361752032723244,-0.019927900284528732,-0.001645061420276761,12500,10,-0.009738180359881372,kV,WAVEFORM
cal_20260804T114850,2026-08-04T16:48:55.576261+00:00,5.496055299998261,0,up,X+,-4.8,-4.8,AIN8,Y+,current,-0.0030477542676683516,0.04218553212419654,-0.07099375873804092,0.0601470060646534,12500,10,-0.030477542676683518,mA,WAVEFORM
cal_20260804T114850,2026-08-04T16:48:55.576261+00:00,5.496055299998261,0,up,X+,-4.8,-4.8,AIN7,Y-,voltage,-0.009805738617349416,0.0025038724061797685,-0.01677568629384041,-0.001329840044490993,12500,10,-0.009805738617349416,kV,WAVEFORM
cal_20260804T114850,2026-08-04T16:48:55.576261+00:00,5.496055299998261,0,up,X+,-4.8,-4.8,AIN6,Y-,current,-0.003941103269794258,0.05090678984937588,-0.08423305302858353,0.07338821142911911,12500,10,-0.03941103269794258,mA,WAVEFORM
cal_20260804T114850,2026-08-04T16:48:57.379857+00:00,7.299637799966149,0,up,X+,-4.6,-4.6,AIN13,X+,voltage,-4.596955741767883,0.0022363880495494134,-4.603246212005615,-4.588430881500244,12500,10,-4.596955741767883,kV,WAVEFORM
cal_20260804T114850,2026-08-04T16:48:57.379857+00:00,7.299637799966149,0,up,X+,-4.6,-4.6,AIN12,X+,current,-0.029099177889033455,0.04640957127017496,-0.10062456130981445,0.04060046002268791,12500,10,-0.29099177889033456,mA,WAVEFORM
cal_20260804T114850,2026-08-04T16:48:57.379857+00:00,7.299637799966149,0,up,X+,-4.6,-4.6,AIN11,X-,voltage,-0.014552770387046039,0.002501037468849247,-0.021504005417227745,-0.004797274712473154,12500,10,-0.014552770387046039,kV,WAVEFORM
cal_20260804T114850,2026-08-04T16:48:57.379857+00:00,7.299637799966149,0,up,X+,-4.6,-4.6,AIN10,X-,current,-0.005299862575562438,0.04322478041762509,-0.07288508862257004,0.05888593941926956,12500,10,-0.052998625755624376,mA,WAVEFORM
cal_20260804T114850,2026-08-04T16:48:57.379857+00:00,7.299637799966149,0,up,X+,-4.6,-4.6,AIN9,Y+,voltage,-0.009729782863203437,0.0029196455466134214,-0.020558342337608337,-0.0019602826796472073,12500,10,-0.009729782863203437,kV,WAVEFORM
cal_20260804T114850,2026-08-04T16:48:57.379857+00:00,7.299637799966149,0,up,X+,-4.6,-4.6,AIN8,Y+,current,-0.0030606633746309672,0.04221965230988603,-0.07130897790193558,0.06140807271003723,12500,10,-0.03060663374630967,mA,WAVEFORM
cal_20260804T114850,2026-08-04T16:48:57.379857+00:00,7.299637799966149,0,up,X+,-4.6,-4.6,AIN7,Y-,voltage,-0.009788187087131665,0.002490819291591446,-0.01709090732038021,-0.001014618668705225,12500,10,-0.009788187087131665,kV,WAVEFORM
cal_20260804T114850,2026-08-04T16:48:57.379857+00:00,7.299637799966149,0,up,X+,-4.6,-4.6,AIN6,Y-,current,-0.003959102794693317,0.050922398397616885,-0.08360261470079422,0.07244241237640381,12500,10,-0.03959102794693317,mA,WAVEFORM
cal_20260804T114850,2026-08-04T16:48:59.171482+00:00,9.091249599994626,0,up,X+,-4.4,-4.4,AIN13,X+,voltage,-4.397068045845032,0.0022175709936281536,-4.404026508331299,-4.3895263671875,12500,10,-4.397068045845032,kV,WAVEFORM
cal_20260804T114850,2026-08-04T16:48:59.171482+00:00,9.091249599994626,0,up,X+,-4.4,-4.4,AIN12,X+,current,-0.028002806677535408,0.04641009310557238,-0.10062456130981445,0.04186152666807175,12500,10,-0.2800280667753541,mA,WAVEFORM
cal_20260804T114850,2026-08-04T16:48:59.171482+00:00,9.091249599994626,0,up,X+,-4.4,-4.4,AIN11,X-,voltage,-0.014615461597517133,0.002492864871867135,-0.021504005417227745,-0.005427717696875334,12500,10,-0.014615461597517133,kV,WAVEFORM
cal_20260804T114850,2026-08-04T16:48:59.171482+00:00,9.091249599994626,0,up,X+,-4.4,-4.4,AIN10,X-,current,-0.005271363553844858,0.04324445034032089,-0.07288508862257004,0.058255404233932495,12500,10,-0.052713635538448586,mA,WAVEFORM
cal_20260804T114850,2026-08-04T16:48:59.171482+00:00,9.091249599994626,0,up,X+,-4.4,-4.4,AIN9,Y+,voltage,-0.009707616494763642,0.0029361389652368276,-0.01961267739534378,-0.001645061420276761,12500,10,-0.009707616494763642,kV,WAVEFORM
cal_20260804T114850,2026-08-04T16:48:59.171482+00:00,9.091249599994626,0,up,X+,-4.4,-4.4,AIN8,Y+,current,-0.003056502243478317,0.04221880360928322,-0.07256986200809479,0.0601470060646534,12500,10,-0.03056502243478317,mA,WAVEFORM
cal_20260804T114850,2026-08-04T16:48:59.171482+00:00,9.091249599994626,0,up,X+,-4.4,-4.4,AIN7,Y-,voltage,-0.009790910603506491,0.00250304599706074,-0.01677568629384041,-0.001014618668705225,12500,10,-0.009790910603506491,kV,WAVEFORM
cal_20260804T114850,2026-08-04T16:48:59.171482+00:00,9.091249599994626,0,up,X+,-4.4,-4.4,AIN6,Y-,current,-0.0038780818559753243,0.05090522871569528,-0.08486349880695343,0.07370348274707794,12500,10,-0.038780818559753245,mA,WAVEFORM
cal_20260804T114850,2026-08-04T16:49:00.986257+00:00,10.906014799955301,0,up,X+,-4.2,-4.2,AIN13,X+,voltage,-4.198696508140564,0.0022144893616115593,-4.204806327819824,-4.191251754760742,12500,10,-4.198696508140564,kV,WAVEFORM
cal_20260804T114850,2026-08-04T16:49:00.986257+00:00,10.906014799955301,0,up,X+,-4.2,-4.2,AIN12,X+,current,-0.026987187052761437,0.04640190603988081,-0.0996789038181305,0.04312259703874588,12500,10,-0.26987187052761435,mA,WAVEFORM
cal_20260804T114850,2026-08-04T16:49:00.986257+00:00,10.906014799955301,0,up,X+,-4.2,-4.2,AIN11,X-,voltage,-0.014615184216089547,0.0024963353836899662,-0.022449670359492302,-0.005742938723415136,12500,10,-0.014615184216089547,kV,WAVEFORM
cal_20260804T114850,2026-08-04T16:49:00.986257+00:00,10.906014799955301,0,up,X+,-4.2,-4.2,AIN10,X-,current,-0.0052339367606828455,0.043237694252458665,-0.07351552695035934,0.059201207011938095,12500,10,-0.05233936760682845,mA,WAVEFORM
cal_20260804T114850,2026-08-04T16:49:00.986257+00:00,10.906014799955301,0,up,X+,-4.2,-4.2,AIN9,Y+,voltage,-0.009719872304191813,0.0029353237131207873,-0.019927900284528732,-0.001329840044490993,12500,10,-0.009719872304191813,kV,WAVEFORM
cal_20260804T114850,2026-08-04T16:49:00.986257+00:00,10.906014799955301,0,up,X+,-4.2,-4.2,AIN8,Y+,current,-0.003008986607005354,0.04221748974107283,-0.07067853957414627,0.0601470060646534,12500,10,-0.03008986607005354,mA,WAVEFORM
cal_20260804T114850,2026-08-04T16:49:00.986257+00:00,10.906014799955301,0,up,X+,-4.2,-4.2,AIN7,Y-,voltage,-0.009777873043352737,0.0024945488900207863,-0.016460465267300606,-0.001329840044490993,12500,10,-0.009777873043352737,kV,WAVEFORM
cal_20260804T114850,2026-08-04T16:49:00.986257+00:00,10.906014799955301,0,up,X+,-4.2,-4.2,AIN6,Y-,current,-0.0037909719085192774,0.050908236794001506,-0.08391783386468887,0.07433401793241501,12500,10,-0.03790971908519277,mA,WAVEFORM
cal_20260804T114850,2026-08-04T16:49:02.777253+00:00,12.696998099971097,0,up,X+,-4.0,-4.0,AIN13,X+,voltage,-3.999178305721283,0.0022010049795080466,-4.00590181350708,-3.9914016723632812,12500,10,-3.999178305721283,kV,WAVEFORM
cal_20260804T114850,2026-08-04T16:49:02.777253+00:00,12.696998099971097,0,up,X+,-4.0,-4.0,AIN12,X+,current,-0.02596559005471878,0.04639473973556132,-0.09778757393360138,0.04375312849879265,12500,10,-0.2596559005471878,mA,WAVEFORM
cal_20260804T114850,2026-08-04T16:49:02.777253+00:00,12.696998099971097,0,up,X+,-4.0,-4.0,AIN11,X-,voltage,-0.014631651370450855,0.0024887580790394137,-0.021504005417227745,-0.0044820536859333515,12500,10,-0.014631651370450855,kV,WAVEFORM
cal_20260804T114850,2026-08-04T16:49:02.777253+00:00,12.696998099971097,0,up,X+,-4.0,-4.0,AIN10,X-,current,-0.0052376958641503005,0.04322903023486073,-0.07288508862257004,0.05857067182660103,12500,10,-0.052376958641503005,mA,WAVEFORM
cal_20260804T114850,2026-08-04T16:49:02.777253+00:00,12.696998099971097,0,up,X+,-4.0,-4.0,AIN9,Y+,voltage,-0.009699017264759168,0.0029419290421792573,-0.020558342337608337,-0.001329840044490993,12500,10,-0.009699017264759168,kV,WAVEFORM
cal_20260804T114850,2026-08-04T16:49:02.777253+00:00,12.696998099971097,0,up,X+,-4.0,-4.0,AIN8,Y+,current,-0.0030270502440608105,0.04222936291283921,-0.07193942368030548,0.05983173847198486,12500,10,-0.030270502440608103,mA,WAVEFORM
cal_20260804T114850,2026-08-04T16:49:02.777253+00:00,12.696998099971097,0,up,X+,-4.0,-4.0,AIN7,Y-,voltage,-0.009768845104305073,0.0025017319741505602,-0.016460465267300606,-0.001014618668705225,12500,10,-0.009768845104305073,kV,WAVEFORM
cal_20260804T114850,2026-08-04T16:49:02.777253+00:00,12.696998099971097,0,up,X+,-4.0,-4.0,AIN6,Y-,current,-0.0037864061103016137,0.050915635919064665,-0.08297216892242432,0.07464928179979324,12500,10,-0.037864061103016135,mA,WAVEFORM
cal_20260804T114850,2026-08-04T16:49:04.588925+00:00,14.508658999984618,0,up,X+,-3.8,-3.8,AIN13,X+,voltage,-3.7996049919128416,0.0022172031974503855,-3.8066818714141846,-3.7918665409088135,12500,10,-3.7996049919128416,kV,WAVEFORM
cal_20260804T114850,2026-08-04T16:49:04.588925+00:00,14.508658999984618,0,up,X+,-3.8,-3.8,AIN12,X+,current,-0.02497556377953384,0.04640067631660456,-0.09778757393360138,0.04501419886946678,12500,10,-0.24975563779533838,mA,WAVEFORM
cal_20260804T114850,2026-08-04T16:49:04.588925+00:00,14.508658999984618,0,up,X+,-3.8,-3.8,AIN11,X-,voltage,-0.014640250607393683,0.002498137932276443,-0.0221344493329525,-0.005112496204674244,12500,10,-0.014640250607393683,kV,WAVEFORM
cal_20260804T114850,2026-08-04T16:49:04.588925+00:00,14.508658999984618,0,up,X+,-3.8,-3.8,AIN10,X-,current,-0.005227632217237261,0.04324423163124882,-0.073830746114254,0.05857067182660103,12500,10,-0.0522763221723726,mA,WAVEFORM
cal_20260804T114850,2026-08-04T16:49:04.588925+00:00,14.508658999984618,0,up,X+,-3.8,-3.8,AIN9,Y+,voltage,-0.009729808078072966,0.0029285808051611947,-0.020558342337608337,-0.001645061420276761,12500,10,-0.009729808078072966,kV,WAVEFORM
cal_20260804T114850,2026-08-04T16:49:04.588925+00:00,14.508658999984618,0,up,X+,-3.8,-3.8,AIN8,Y+,current,-0.0029983713787305167,0.04221607947920591,-0.07099375873804092,0.06046227365732193,12500,10,-0.029983713787305168,mA,WAVEFORM
