run_id,timestamp_iso,t_elapsed_s,pass_index,pass_type,driven_amp,commanded_kv,commanded_gen_v,ain,amp_label,kind,mean_v,std_v,min_v,max_v,n_samples,n_windows,converted_value,converted_unit,stream_profile
cal_20260804T111952,2026-08-04T16:19:57.740545+00:00,5.5946822999976575,0,up,X+,-4.8,-4.8,AIN9,Y+,voltage,-0.009923807906378061,0.0033187842046009854,-0.021504005417227745,-0.0006993973511271179,12500,10,-0.009923807906378061,kV,WAVEFORM
cal_20260804T111952,2026-08-04T16:19:57.740545+00:00,5.5946822999976575,0,up,X+,-4.8,-4.8,AIN8,Y+,current,-0.0031120060488267335,0.04227853868911727,-0.07099375873804092,0.05794014036655426,12500,10,-0.031120060488267334,mA,WAVEFORM
cal_20260804T111952,2026-08-04T16:19:57.740545+00:00,5.5946822999976575,0,up,X+,-4.8,-4.8,AIN7,Y-,voltage,-0.010024426578982965,0.003262505324264039,-0.017721349373459816,0.0005615691188722849,12500,10,-0.010024426578982965,kV,WAVEFORM
cal_20260804T111952,2026-08-04T16:19:57.740545+00:00,5.5946822999976575,0,up,X+,-4.8,-4.8,AIN6,Y-,current,-0.0040390093726455235,0.050836611373042344,-0.08328738808631897,0.07212714850902557,12500,10,-0.04039009372645523,mA,WAVEFORM
cal_20260804T111952,2026-08-04T16:19:59.637575+00:00,7.491708400018979,0,up,X+,-4.6,-4.6,AIN13,X+,voltage,-4.597738060646057,0.002745147062005685,-4.606083393096924,-4.589691638946533,12500,10,-4.597738060646057,kV,WAVEFORM
cal_20260804T111952,2026-08-04T16:19:59.637575+00:00,7.491708400018979,0,up,X+,-4.6,-4.6,AIN12,X+,current,-0.029111672527797054,0.04628759967416078,-0.09999412298202515,0.04375312849879265,12500,10,-0.29111672527797056,mA,WAVEFORM
cal_20260804T111952,2026-08-04T16:19:59.637575+00:00,7.491708400018979,0,up,X+,-4.6,-4.6,AIN11,X-,voltage,-0.01481268918916001,0.002889079398233479,-0.023080112412571907,0.0062363725155591965,12500,10,-0.01481268918916001,kV,WAVEFORM
cal_20260804T111952,2026-08-04T16:19:59.637575+00:00,7.491708400018979,0,up,X+,-4.6,-4.6,AIN10,X-,current,-0.0053528063358261714,0.04308483863131167,-0.07225464284420013,0.05794014036655426,12500,10,-0.05352806335826171,mA,WAVEFORM
cal_20260804T111952,2026-08-04T16:19:59.637575+00:00,7.491708400018979,0,up,X+,-4.6,-4.6,AIN9,Y+,voltage,-0.00989959890146507,0.003321120820983613,-0.021504005417227745,-0.0003841760044451803,12500,10,-0.00989959890146507,kV,WAVEFORM
cal_20260804T111952,2026-08-04T16:19:59.637575+00:00,7.491708400018979,0,up,X+,-4.6,-4.6,AIN8,Y+,current,-0.0031041108683042694,0.04230167864746561,-0.07162419706583023,0.05983173847198486,12500,10,-0.031041108683042693,mA,WAVEFORM
cal_20260804T111952,2026-08-04T16:19:59.637575+00:00,7.491708400018979,0,up,X+,-4.6,-4.6,AIN7,Y-,voltage,-0.00997033458063379,0.003250876776553407,-0.01835179328918457,0.0015073696849867702,12500,10,-0.00997033458063379,kV,WAVEFORM
cal_20260804T111952,2026-08-04T16:19:59.637575+00:00,7.491708400018979,0,up,X+,-4.6,-4.6,AIN6,Y-,current,-0.003999414752183948,0.05083858286412602,-0.08297216892242432,0.07338821142911911,12500,10,-0.039994147521839475,mA,WAVEFORM
cal_20260804T111952,2026-08-04T16:20:01.438036+00:00,9.292156099982094,0,up,X+,-4.4,-4.4,AIN13,X+,voltage,-4.398047437667847,0.0027158786731006084,-4.405287265777588,-4.389841556549072,12500,10,-4.398047437667847,kV,WAVEFORM
cal_20260804T111952,2026-08-04T16:20:01.438036+00:00,9.292156099982094,0,up,X+,-4.4,-4.4,AIN12,X+,current,-0.028094691813017707,0.04628128726718341,-0.09904845803976059,0.04312259703874588,12500,10,-0.2809469181301771,mA,WAVEFORM
cal_20260804T111952,2026-08-04T16:20:01.438036+00:00,9.292156099982094,0,up,X+,-4.4,-4.4,AIN11,X-,voltage,-0.014802375239192042,0.0028975156267358453,-0.02339533343911171,0.0008768359548412263,12500,10,-0.014802375239192042,kV,WAVEFORM
